#Energy           TDOS-UP         TDOS-DOWN
-7.615708        2.121000        2.121000
-7.584708        3.231000        3.231000
-7.553708        3.306000        3.306000
-7.522708        3.505000        3.505000
-7.491708        3.227000        3.227000
-7.460708        3.348000        3.348000
-7.429708        3.304000        3.304000
-7.398708        3.172000        3.172000
-7.367708        3.274000        3.274000
-7.336708        3.368000        3.368000
-7.305708        3.378000        3.378000
-7.274708        3.440000        3.440000
-7.243708        3.566000        3.566000
-7.212708        3.381000        3.380000
-7.181708        2.754000        2.754000
-7.150708        3.639000        3.639000
-7.119708        3.669000        3.669000
-7.088708        4.696000        4.697000
-7.057708        3.368000        3.368000
-7.026708        3.868000        3.868000
-6.995708        3.205000        3.205000
-6.964708        4.300000        4.299000
-6.933708        3.600000        3.600000
-6.902708        3.758000        3.758000
-6.871708        3.747000        3.747000
-6.840708        3.599000        3.599000
-6.809708        3.712000        3.712000
-6.778708        4.084000        4.084000
-6.747708        3.983000        3.984000
-6.716708        3.518000        3.518000
-6.685708        3.996000        3.996000
-6.654708        4.550000        4.550000
-6.623708        4.297000        4.296000
-6.592708        4.247000        4.247000
-6.561708        4.391000        4.391000
-6.530708        4.505000        4.505000
-6.499708        4.809000        4.808000
-6.468708        4.959000        4.959000
-6.437708        5.572000        5.572000
-6.406708        7.317000        7.317000
-6.375708        5.411000        5.411000
-6.344708        4.430000        4.430000
-6.313708        4.460000        4.460000
-6.282708        4.539000        4.539000
-6.251708        4.672000        4.672000
-6.220708        4.395000        4.395000
-6.189708        4.087000        4.087000
-6.158708        4.024000        4.024000
-6.127708        3.954000        3.954000
-6.096708        3.845000        3.845000
-6.065708        3.843000        3.843000
-6.034708        3.748000        3.748000
-6.003708        3.747000        3.747000
-5.972708        3.608000        3.608000
-5.942708        3.626000        3.626000
-5.911708        3.692000        3.692000
-5.880708        3.532000        3.533000
-5.849708        3.907000        3.907000
-5.818708        3.195000        3.195000
-5.787708        3.547000        3.547000
-5.756708        3.516000        3.516000
-5.725708        3.279000        3.279000
-5.694708        3.229000        3.229000
-5.663708        3.195000        3.195000
-5.632708        3.422000        3.422000
-5.601708        3.286000        3.286000
-5.570708        3.223000        3.223000
-5.539708        3.224000        3.224000
-5.508708        3.065000        3.065000
-5.477708        3.904000        3.905000
-5.446708        3.051000        3.051000
-5.415708        3.477000        3.477000
-5.384708        2.608000        2.608000
-5.353708        3.168000        3.168000
-5.322708        3.780000        3.781000
-5.291708        2.975000        2.975000
-5.260708        3.111000        3.111000
-5.229708        2.998000        2.998000
-5.198708        3.054000        3.054000
-5.167708        3.025000        3.025000
-5.136708        2.937000        2.937000
-5.105708        3.100000        3.100000
-5.074708        2.896000        2.896000
-5.043708        2.990000        2.990000
-5.012708        2.967000        2.967000
-4.981708        2.872000        2.872000
-4.950708        2.781000        2.781000
-4.919708        2.846000        2.846000
-4.888708        2.807000        2.807000
-4.857708        2.692000        2.692000
-4.826708        2.823000        2.823000
-4.795708        2.682000        2.682000
-4.764708        2.735000        2.735000
-4.733708        2.686000        2.686000
-4.702708        2.617000        2.617000
-4.671708        2.882000        2.882000
-4.640708        2.963000        2.963000
-4.609708        2.483000        2.483000
-4.578708        2.364000        2.364000
-4.547708        2.269000        2.269000
-4.516708        2.715000        2.714000
-4.485708        2.896000        2.896000
-4.454708        2.577000        2.577000
-4.423708        2.931000        2.931000
-4.392708        2.591000        2.591000
-4.361708        2.759000        2.759000
-4.330708        2.527000        2.527000
-4.299708        2.641000        2.641000
-4.268708        2.543000        2.543000
-4.237708        2.517000        2.517000
-4.206708        2.526000        2.526000
-4.175708        2.479000        2.479000
-4.144708        2.625000        2.625000
-4.113708        2.597000        2.597000
-4.082708        2.772000        2.772000
-4.051708        2.513000        2.513000
-4.020708        2.407000        2.407000
-3.989708        2.987000        2.987000
-3.958708        2.512000        2.512000
-3.927708        2.647000        2.647000
-3.896708        2.688000        2.688000
-3.865708        2.432000        2.432000
-3.834708        2.581000        2.581000
-3.803708        2.494000        2.494000
-3.772708        2.570000        2.570000
-3.741708        2.512000        2.512000
-3.710708        2.560000        2.560000
-3.679708        2.464000        2.464000
-3.648708        2.468000        2.468000
-3.617708        2.482000        2.482000
-3.586708        2.421000        2.421000
-3.555708        2.330000        2.330000
-3.524708        2.897000        2.897000
-3.493708        2.391000        2.391000
-3.462708        2.131000        2.131000
-3.431708        2.573000        2.573000
-3.400708        2.475000        2.475000
-3.369708        2.574000        2.574000
-3.338708        1.807000        1.807000
-3.307708        2.307000        2.307000
-3.276708        2.637000        2.637000
-3.245708        2.506000        2.506000
-3.214708        2.486000        2.486000
-3.183708        2.488000        2.488000
-3.152708        2.478000        2.478000
-3.121708        2.485000        2.485000
-3.090708        2.506000        2.506000
-3.059708        2.499000        2.499000
-3.028708        1.557000        1.557000
-2.997708        1.631000        1.631000
-2.966708        1.590000        1.590000
-2.935708        1.594000        1.594000
-2.904708        1.623000        1.623000
-2.873708        1.639000        1.639000
-2.842708        1.658000        1.658000
-2.811708        1.681000        1.681000
-2.780708        1.705000        1.705000
-2.749708        1.726000        1.726000
-2.718708        1.955000        1.955000
-2.687708        1.856000        1.856000
-2.656708        1.922000        1.922000
-2.625708        1.201000        1.201000
-2.594708        2.291000        2.291000
-2.563708        1.926000        1.926000
-2.532708        2.272000        2.272000
-2.501708        2.045000        2.045000
-2.470708        2.032000        2.032000
-2.439708        2.156000        2.156000
-2.408708        2.519000        2.519000
-2.377708        2.717000        2.717000
-2.346708        3.296000        3.296000
-2.315708        2.554000        2.554000
-2.284708        2.213000        2.213000
-2.253708        2.102000        2.102000
-2.222708        1.989000        1.989000
-2.191708        1.837000        1.837000
-2.160708        1.734000        1.734000
